#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
1179	0.0477	0.2
1180	0.04791	0.2
1181	0.04973	0.2
1182	0.04977	0.2
1183	0.0488	0.2
1184	0.04918	0.2
1185	0.04961	0.2
1186	0.05081	0.2
1187	0.05099	0.2
1188	0.05061	0.2
1189	0.04955	0.2
1190	0.04735	0.2
1191	0.04804	0.2
1192	0.04845	0.2
1193	0.04996	0.2
1194	0.04974	0.2
1195	0.04866	0.2
1196	0.04868	0.2
1197	0.04929	0.2
1198	0.04896	0.2
1199	0.04857	0.2
1200	0.05003	0.2
1201	0.04945	0.2
1202	0.04813	0.2
1203	0.04856	0.2
1204	0.04966	0.2
1205	0.05127	0.2
1206	0.0513	0.2
1207	0.05095	0.2
1208	0.0511	0.2
1209	0.05125	0.2
1210	0.05105	0.2
1211	0.05062	0.2
1212	0.04973	0.2
1213	0.05016	0.2
1214	0.05089	0.2
1215	0.05028	0.2
1216	0.05061	0.2
1217	0.05142	0.2
1218	0.05446	0.2
1219	0.05451	0.2
1220	0.05478	0.2
1221	0.05463	0.2
1222	0.05381	0.2
1223	0.05351	0.2
1224	0.05295	0.2
1225	0.05163	0.2
1226	0.0512	0.2
1227	0.05094	0.2
1228	0.05209	0.2
